slug,title,career_code,education,sponsor,career_grades,type_works,posts,tasks_count
桥隧工,桥隧工,6-29-02-05,初中毕业（或相当文化程度）,贵州交通技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","桥梁工,隧道工,盾构机操作工","隧道掘进工,隧道支护工,桥梁钢筋工,桥梁混凝土工,路桥隧施工员,隧道技术员,桥隧工程师,桥梁隧道专业工程师,结构工程师（桥隧方向）,隧道生产施工管理员,桥隧项目经理,桥隧管理员,轨道交通领工员,桥隧试验检测工程师,桥梁检测师,一级结构检测师（桥隧）,桥梁监控工程师,隧道监控量测工程师,结构健康监测工程师,桥隧装备设计师,桥隧测绘工程师,桥隧设计咨询工程师,铁路桥隧工,地铁隧道检修工,接触网工（桥隧方向）,高速公路桥隧养护员,桥隧病害整治工程师",6
民宿管家,民宿管家,4-14-06-02,初中毕业（或相当文化程度）,莫干山民宿管家培训学校,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"民宿店长,民宿活动策划师,旅游住宿服务专员",7
水生产处理工,水生产处理工,6-28-03-01,初中毕业（或相当文化程度）,青岛水务集团有限公司,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","自来水生产工,海水淡化工,高纯水制取工,循环冷却水操作工,化学水处理工,海水冷却系统操作员","水生产运行值班员,司泵工,水环境监测员,水生产设备维护维修工",4
水生物病害防治员,水生物病害防治员,5-05-02-05,高中毕业（或同等学力）,威海海洋职院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","水生植物病害防治员,水生动物病害防治员","水产养殖技术员,水产技术推广员,水质监测分析师,水生动物健康管理专员,水产病害防控专员,微生物检测技术员,水生动物检疫员,观赏鱼健康管理师",7
汽车救援员,汽车救援员,4-02-02-09,初中毕业（或相当文化程度）,中国汽车流通协会,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,汽车救援员,8
汽车维修工,汽车维修工,4-12-01-01,初中毕业（或相当文化程度）,景格科技,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","汽车维修检验工,汽车机械维修工,汽车电器维修工,汽车玻璃维修工,汽车美容装潢工,汽车车身整形修复工,汽车车身涂装修复工,二手车整备工,新能源汽车维修工,智能汽车维修工","汽车维修工,汽车维修技师,汽车钣金工,汽车喷漆工,汽车美容工,汽车质检员,汽车维修车间主管,汽车维修技术总监,汽车保险理赔员,二手车评估师",5
汽车装调工,汽车装调工,6-22-02-01,高中毕业（或同等学力）,重庆城市职业学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","汽车发动机装调工,汽车变速器装调工,汽车电气装调工,汽车整车装调工,汽车零部件装调工","汽车装调工,汽车装配工,汽车调试工,整车装配工,汽车发动机装配工,汽车发动机调试工,汽车变速器装配工,汽车变速器调试工,汽车零部件装调工,汽车电气装调工,车身装调工,汽车总装工艺工程师,装配工艺经理",16
涂装工,涂装工,6-18-03-03,初中毕业（或相当文化程度）,江苏省盐城技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","涂装预处理工,涂料调配工,涂料涂覆工,涂装后处理工,防锈处理工","涂装工操作工,涂装工艺工程师,涂装设备工程师,涂装质检工程师,涂装车间主任",9
漆艺师,漆艺师,4-08-08-28,初中毕业（或相当文化程度）,长江艺术工程职业学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"漆艺手工艺人,漆器设计师,漆艺工艺师,美术教师——工艺技师,文创产品开发设计师,大漆制作师,大漆工艺设计制作师",7
焊工,焊工,6-18-02-04,初中毕业（或相当文化程度）,大同机车技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","电焊工,气焊工,钎焊工,焊接设备操作工,锅炉（承压）设备焊工","钢结构焊工,二保焊工,氩弧焊工,焊装技术员",8
